Game_ID,Name,Platform,Genre,Year_of_Release,Global_Sales
1,Wii Sports,Wii,Sports,2006,82.53
2,Super Mario Bros.,NES,Platform,1985,40.24
3,Mario Kart Wii,Wii,Racing,2008,35.52
4,Wii Sports Resort,Wii,Sports,2009,32.77
5,Pokemon Red/Pokemon Blue,GB,Role-Playing,1996,31.37
6,Tetris,GB,Puzzle,1989,30.26
7,New Super Mario Bros.,DS,Platform,2006,29.8
8,Wii Play,Wii,Misc,2006,28.92
9,New Super Mario Bros. Wii,Wii,Platform,2009,28.32
10,Duck Hunt,NES,Shooter,1984,28.31
11,Nintendogs,DS,Simulation,2005,24.67
12,Mario Kart DS,DS,Racing,2005,23.21
13,Pokemon Gold/Pokemon Silver,GB,Role-Playing,1999,23.1
14,Wii Fit,Wii,Sports,2007,22.7
15,Kinect Adventures!,X360,Misc,2010,21.81
16,Wii Fit Plus,Wii,Sports,2009,21.79
17,Grand Theft Auto V,PS3,Action,2013,21.04
18,Grand Theft Auto: San Andreas,PS2,Action,2004,20.81
19,Super Mario World,SNES,Platform,1990,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,2005,20.15
21,Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,2006,18.25
22,Super Mario Land,GB,Platform,1989,18.14
23,Super Mario Bros. 3,NES,Platform,1988,17.28
24,Grand Theft Auto V,X360,Action,2013,16.27
25,Grand Theft Auto: Vice City,PS2,Action,2002,16.15
26,Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing,2002,15.85
27,Brain Age 2: More Training in Minutes a Day,DS,Puzzle,2005,15.29
28,Pokemon Black/Pokemon White,DS,Role-Playing,2010,15.14
29,Gran Turismo 3: A-Spec,PS2,Racing,2001,14.98
30,Call of Duty: Modern Warfare 3,X360,Shooter,2011,14.73
31,Pokémon Yellow: Special Pikachu Edition,GB,Role-Playing,1998,14.64
32,Call of Duty: Black Ops 3,PS4,Shooter,2015,14.63
33,Call of Duty: Black Ops,X360,Shooter,2010,14.61
34,Pokemon X/Pokemon Y,3DS,Role-Playing,2013,14.6
35,Call of Duty: Black Ops II,PS3,Shooter,2012,13.79
36,Call of Duty: Black Ops II,X360,Shooter,2012,13.67
37,Call of Duty: Modern Warfare 2,X360,Shooter,2009,13.47
38,Call of Duty: Modern Warfare 3,PS3,Shooter,2011,13.32
39,Grand Theft Auto III,PS2,Action,2001,13.1
40,Super Smash Bros. Brawl,Wii,Fighting,2008,12.84
41,Mario Kart 7,3DS,Racing,2011,12.66
42,Call of Duty: Black Ops,PS3,Shooter,2010,12.63
43,Grand Theft Auto V,PS4,Action,2014,12.61
44,Animal Crossing: Wild World,DS,Simulation,2005,12.13
45,Halo 3,X360,Shooter,2007,12.12
46,Super Mario 64,N64,Platform,1996,11.89
47,Pokemon HeartGold/Pokemon SoulSilver,DS,Action,2009,11.77
48,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,2014,11.68
49,Gran Turismo 4,PS2,Racing,2004,11.66
50,Super Mario Galaxy,Wii,Platform,2007,11.35
51,Super Mario Land 2: 6 Golden Coins,GB,Adventure,1992,11.18
52,Grand Theft Auto IV,X360,Action,2008,11.01
53,Gran Turismo,PS,Racing,1997,10.95
54,Super Mario 3D Land,3DS,Platform,2011,10.81
55,Gran Turismo 5,PS3,Racing,2010,10.7
56,Call of Duty: Modern Warfare 2,PS3,Shooter,2009,10.6
57,Super Mario All-Stars,SNES,Platform,1993,10.55
58,Grand Theft Auto IV,PS3,Action,2008,10.5
59,Pokemon FireRed/Pokemon LeafGreen,GBA,Role-Playing,2004,10.49
60,Super Mario 64,DS,Platform,2004,10.3
61,Call of Duty: Ghosts,X360,Shooter,2013,10.25
62,Just Dance 3,Wii,Misc,2011,10.12
63,New Super Mario Bros. 2,3DS,Platform,2012,9.9
64,Mario Kart 64,N64,Racing,1996,9.87
65,Halo: Reach,X360,Shooter,2010,9.86
66,Final Fantasy VII,PS,Role-Playing,1997,9.72
67,Halo 4,X360,Shooter,2012,9.71
68,Gran Turismo 2,PS,Racing,1999,9.49
69,Just Dance 2,Wii,Misc,2010,9.44
