Platform_ID,Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,2600,80.78,4.86,0.0,0.84,86.57
2,3DO,0.0,0.0,0.1,0.0,0.1
3,3DS,82.65,61.27,100.62,13.27,257.92
4,DC,5.43,1.69,8.56,0.27,15.97
5,DS,380.58,188.41,175.02,59.06,803.73
6,GB,113.64,47.51,85.12,8.16,254.42000000000002
7,GBA,178.43,72.49,46.56,7.51,305.62
8,GC,131.94,38.32,21.34,5.13,197.14
9,GEN,19.27,5.52,2.67,0.89,28.36
10,GG,0.0,0.0,0.04,0.0,0.04
11,N64,138.91,41.03,33.76,4.3100000000000005,218.21
12,NES,125.94,21.15,98.65,5.31,251.07
13,NG,0.0,0.0,1.44,0.0,1.44
14,PC,93.28,140.08,0.16999999999999998,21.88,256.21
15,PCFX,0.0,0.0,0.03,0.0,0.03
16,PS,334.72,212.39000000000001,139.78,40.69,727.41
17,PS2,572.92,332.63,137.54,190.47,1233.46
18,PS3,390.13,327.21,79.41,134.59,931.15
19,PS4,108.74,141.09,16.0,48.35,314.23
20,PSP,107.27,65.62,75.88,40.76,289.79
21,PSV,12.47,13.07,21.830000000000002,6.43,53.82
22,SAT,0.72,0.54,32.26,0.07,33.59
23,SCD,1.0,0.36,0.45,0.05,1.87
24,SNES,61.23,19.04,116.55,3.22,200.05
25,TG16,0.0,0.0,0.16,0.0,0.16
26,WS,0.0,0.0,1.42,0.0,1.42
27,Wii,486.87,258.32,68.28,77.71,891.74
28,WiiU,38.1,25.13,13.01,5.95,82.16
29,X360,595.74,268.32,12.3,84.88,961.39
30,XB,182.06,59.65,1.3800000000000001,8.48,252.09
31,XOne,93.12,51.59,0.34,14.27,159.44
